TrapEvent,Location,Elevation,Site Type,ElevationCat,habitat,ColMeth,Bait,Day0,Mon0,Year0,Time0,Day1,Mon1,Year1,Day_out,Time1,SWD_Male,SWD_Female,other_Drosophila_non-native,Total,Suzukii Total,No_of_Days,Proportions,Prop_male,Prop_female,Host_Genus,Host_Species,Trap in tact?,Notes
SWD007,HAVO01a,735,a,1,forest,Trap,YeastSugar,4,3,2016,1700,8,3,2016,4,1420,0,1,3,4,1,0.25,0.25,0,0.25,,,,
SWD008,HAVO01b,742,b,1,lava,Trap,YeastSugar,4,3,2016,1715,8,3,2016,4,1443,1,12,7,20,13,3.25,0.65,0.25,3,,,,
SWD009,HAVO02a,787,a,2,forest,Trap,YeastSugar,4,3,2016,1500,8,3,2016,4,1115,0,0,10,10,0,0,0,0,0,,,,
SWD010,HAVO02b,779,b,2,lava,Trap,YeastSugar,4,3,2016,1445,8,3,2016,4,1100,1,4,2,7,5,1.25,0.71,0.25,1,,,,
SWD011,HAVO03a,885,a,3,forest,Trap,YeastSugar,4,3,2016,1530,8,3,2016,4,1145,0,0,0,0,0,0,0,0,0,,,,
SWD012,HAVO03b,901,b,3,lava,Trap,YeastSugar,4,3,2016,1600,8,3,2016,4,1207,3,14,8,25,17,4.25,0.68,0.75,3.5,,,,
SWD013,HAVO04a,1007,a,4,forest,Trap,YeastSugar,4,3,2016,1319,8,3,2016,4,1535,1,0,15,16,1,0.25,0.06,0.25,0,,,,
SWD014,HAVO04b,1023,b,4,lava,Trap,YeastSugar,4,3,2016,1300,8,3,2016,4,1547,0,4,10,14,4,1,0.29,0,1,,,,"Site 4B- SWD females look very different, one specimen with darker banding towards the terminal end of the abdomen; overall much more darkened; however other specimen not as darkenedó.is is because she is younger? Or is a different expressed phenotype?"
SWD015,HAVO05a,1371,a,5,forest,Trap,YeastSugar,4,3,2016,1045,8,3,2016,4,1630,0,4,6,10,4,1,0.4,0,1,,,,
SWD016,HAVO05b,1588,b,5,lava,Trap,YeastSugar,4,3,2016,1030,8,3,2016,4,1651,0,0,0,0,0,0,0,0,0,,,,
SWD017,HAVO06a,1742,a,6,forest,Trap,YeastSugar,4,3,2016,1100,8,3,2016,4,1720,0,0,0,0,0,0,0,0,0,,,,
SWD018,HAVO06b,1754,b,6,lava,Trap,YeastSugar,4,3,2016,1115,8,3,2016,4,1700,0,0,0,0,0,0,0,0,0,,,,
SWD019,HAVO07a,2060,a,7,forest,Trap,YeastSugar,4,3,2016,1130,8,3,2016,4,1736,1,1,2,4,2,0.5,0.5,0.25,0.25,,,,
SWD020,HAVO07b,2049,b,7,lava,Trap,YeastSugar,4,3,2016,1140,8,3,2016,4,1750,0,0,0,0,0,0,0,0,0,,,,
SWD021,HAVO01a,735,a,1,forest,Trap,YeastSugar,8,3,2016,1420,15,3,2016,7,1434,24,39,15,78,63,9,0.81,3.428571429,5.571428571,,,Y,
SWD022,HAVO01b,742,b,1,lava,Trap,YeastSugar,8,3,2016,1443,15,3,2016,7,1445,0,0,0,0,0,0,0,0,0,,,N,Trap Missing
SWD023,HAVO02a,787,a,2,forest,Trap,YeastSugar,8,3,2016,1115,15,3,2016,7,1248,0,0,3,3,0,0,0,0,0,,,Y,
SWD024,HAVO02b,779,b,2,lava,Trap,YeastSugar,8,3,2016,1100,15,3,2016,7,1308,0,4,1,5,4,0.57,0.8,0,0.571428571,,,N,Trap Fallen
SWD025,HAVO03a,885,a,3,forest,Trap,YeastSugar,8,3,2016,1145,15,3,2016,7,1213,1,6,7,14,7,1,0.5,0.142857143,0.857142857,,,Y,
SWD026,HAVO03b,901,b,3,lava,Trap,YeastSugar,8,3,2016,1207,15,3,2016,7,1000,3,18,5,26,21,3,0.81,0.428571429,2.571428571,,,Y,
SWD027,HAVO04a,1007,a,4,forest,Trap,YeastSugar,8,3,2016,1535,15,3,2016,7,1612,0,12,21,33,12,1.71,0.36,0,1.714285714,,,Y,
